Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
nemiralisib,CC(C)N1CCN(CC1)CC2=CN=C(O2)C3=C4C=NNC4=CC(=C3)C5=C6C=CNC6=CC=C5,440.5482,4.01,8.47,,,0.9790000000000001,,,10.8,
firuglipel,CC[C@H](C1=NC(=NO1)C2=CC(=C(C=C2)C(=O)N[C@H](C)CO)F)OC3=CC=C(C=C3)C(=O)C4CC4,467.4944,,,,,,,,5.295,
topiramate,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,339.4,0.57,8.61,9.8,,0.28,,,25.0,
salicin,C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,286.2782,0.44,,,,,,,,
trospium,C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,392.5,,,628.5,,0.8,,,796.0,CYP450_3a4_substrate
omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.42,2.2,,0.2,,0.95,0.71,0.03,550.0,CYP450_3a4_substrate
semagacestat,C[C@@H](C(=O)N[C@H]1C2=CC=CC=C2CCN(C1=O)C)NC(=O)[C@H](C(C)C)O,361.4393,,,,4.0,,,,21.2,
trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,371.87,2.9,6.74,100.0,,0.92,,,1.1,CYP450_3a4_substrate
montelukast,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,586.2,7.7,4.3,,,0.99,,,0.435,CYP450_3a4_substrate
naltrexone,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,341.405,,,,,0.21,,,,CYP450_3a4_substrate
labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,328.41,3.1,,,,0.5,0.366,,33.0,
belzutifan,CS(=O)(=O)C1=C2[C@@H]([C@@H]([C@@H](C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,383.3417,,,0.01,29.299999999999997,0.45,,,7.3,CYP450_3a4_substrate
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.607,,,,,0.46,,,10.5,CYP450_3a4_substrate
garcinia acid,C(C(=O)O)C(C(C(=O)O)O)(C(=O)O)O,208.121,,,,,,,,125.925,
ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,260.3786,,,,,0.4,,,8.1,CYP450_3a4_inhibitor
indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,613.798,2.8,,,,0.61,,,9.35,CYP450_3a4_substrate
daridorexant,CC1=C(C=CC2=C1N=C(N2)[C@@]3(CCCN3C(=O)C4=C(C=CC(=C4)OC)N5N=CC=N5)C)Cl,450.9207,3.9,,0.0001,22.6,0.997,0.89,0.12,4.97,CYP450_3a4_substrate
enoxaparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,4500.0,,,,,,,,21.75,
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.1194,,,,,0.893,,,83.0,
sirolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,914.179,,,,,0.92,,,111.5,CYP450_3a4_substrate
avapritinib,C[C@](C1=CC=C(C=C1)F)(C2=CN=C(N=C2)N3CCN(CC3)C4=NC=NN5C4=CC(=C5)C6=CN(N=C6)C)N,498.558,3.2,1.0,3.6,8.0,0.988,0.9,,19.5,CYP450_3a4_substrate
cisplatin,N.N.Cl[Pt]Cl,302.0632,,,,,,,,3.75,
galantamine,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,287.357,,,,,0.18,,,,CYP450_3a4_substrate
finerenone,CCOC1=NC=C(C2=C1[C@@H](C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,378.4298,,4.3,0.001,10.65,0.9167000000000001,0.9,,25.63,CYP450_3a4_substrate
(-)-epicatechin gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,442.374,,,,,,,,329.15,
gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.336,,4.7,,,0.99,,,1.05,CYP450_3a4_substrate
durlobactam,CC1=C[C@@H]2CN([C@@H]1C(=O)N)C(=O)N2OS(=O)(=O)O,277.2559,2.0,,100.0,,0.1,,,6.535,CYP450_3a4_substrate
nicotine,CN1CCC[C@H]1C2=CN=CC=C2,162.2346,,,,,0.0385,,,11.95,
cobicistat,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,776.0347,,,,,0.975,,,14.0,CYP450_3a4_substrate
rifabutin,C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,847.013,3.2,,0.19,,0.365,,,1.4,
quinidine,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,324.422,,,,,0.45,,,3.25,
esketamine,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,237.728,,,,,0.43,0.637,,89.0,
telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,812.0115,3.0,8.84,300000.0,,0.65,,,14.0,
enasidenib,CC(C)(CNC1=NC(=NC(=N1)C2=NC(=CC=C2)C(F)(F)F)NC3=CC(=NC=C3)C(F)(F)F)O,473.3793,,,74.0,17.9,0.985,,,0.7,CYP450_3a4_substrate
levomepromazine (methotrimeprazine),C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,328.478,,,,,0.9440000000000001,,,,
piroxicam,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,331.3,,,,,0.99,,,1.25,CYP450_3a4_substrate
remdesivir metabolite GS-441524,C1=C2C(=NC=NN2C(=C1)[C@]3([C@@H]([C@@H]([C@H](O3)CO)O)O)C#N)N,291.2627,,,,,0.02,,,,
ambroxol,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,378.106,,,,,,,,37.995,
pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,356.444,,,,,0.99,0.39,0.0078,1.43,CYP450_3a4_substrate
olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,434.46,1.49,1.25,0.13,2.005,0.82,0.973,0.089,5.65,CYP450_3a4_substrate
voclosporin,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,1214.62,5.87,,0.001,,0.97655,,,63.6,CYP450_3a4_substrate
estetrol,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@H]([C@H]([C@@H]2O)O)O)CCC4=C3C=CC(=C4)O,304.3836,,,0.1,1.8,0.48,,,196.0,CYP450_3a4_substrate
almotriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,469.56,,,,,0.35,,,24.0,CYP450_3a4_substrate
tivozanib,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,454.8681,4.09,5.9,0.001,2.855,0.99,,,0.75,CYP450_3a4_substrate
7-carboxycannabidiol (cannabidiol-11-oic acid),CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C(=O)O)O,,,,,,0.968,,,,
gadopiclenol,C1CN(CC2=NC(=CC=C2)CN(CCN1C(CCC(=O)NCC(CO)O)C(=O)[O-])C(CCC(=O)NCC(CO)O)C(=O)[O-])C(CCC(=O)NCC(CO)O)C(=O)[O-].[Gd+3],970.0912,,,,,0.018000000000000002,,,0.1,CYP450_3a4_substrate
aplaviroc,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,577.7177,,,,,0.93,,,34.6,
voriconazole,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,349.3,,,,,0.58,,,3.8,CYP450_3a4_substrate
erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,733.93,,,1.0,,0.435,,,6.6,CYP450_3a4_substrate
dapoxetine,CN(C)[C@@H](CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3,305.419,,8.6,,,0.99,,,20.5,
yohimbine,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,354.447,2.73,,277000.0,,0.972,,,6075.5,
selexipag,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,496.62,,,,,0.99,,,35.0,CYP450_3a4_substrate
abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,286.337,,,,,,,,13.4,
inavolisib,C[C@@H](C(=O)N)NC1=CC2=C(C=C1)C3=NC(=CN3CCO2)N4[C@@H](COC4=O)C(F)F,407.37,0.96,3.12,2.41,1.9,0.37,,0.63,8.8,CYP450_3a4_substrate
brexpiprazole,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,433.2,0.3,7.8,,,,,,15.600000000000001,CYP450_3a4_substrate
vonoprazan,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,345.4,2.74,9.3,1.0,17.8,0.865,0.491,0.94,97.3,CYP450_3a4_substrate
clopidogrel carboxylic acid,C1CN(CC2=C1SC=C2)C(C3=CC=CC=C3Cl)C(=O)O,307.792,,,,,,,,4.975,
rolapitant,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)C4=CC=CC=C4,500.48,,,,,0.998,,,0.96,CYP450_3a4_substrate
haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,375.869,,,0.01,,0.47,,,7.3500000000000005,CYP450_3a4_substrate
alflutinib,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(N=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OCC(F)(F)F,568.6,,,,,,,,55.95,
brigatinib,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,584.1011,,,355.2,,0.91,0.72,,8.8,CYP450_3a4_substrate
venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,868.44,,,,1.0,0.9990000000000001,,,429.0,CYP450_3a4_substrate
ombitasvir,CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[C@@H]3CC[C@H](N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,894.1203,7.9,,0.001,,0.9990000000000001,,,,
tiagabine,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,375.555,,,,,0.96,,,1.2,CYP450_3a4_substrate
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,282.334,,,,,0.865,,,6.9,
dextroamphetamine,C[C@@H](CC1=CC=CC=C1)N,135.21,,,,,,,,,
furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,330.75,,3.9,0.001,,0.495,,,1.1199999999999999,
fluzoparib,C1CN2C(=NC(=N2)C(F)(F)F)CN1C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,472.4004,,,1.0,,0.7794999999999999,,,2.5639,
pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,432.4,2.05,3.92,,,0.98,0.719,,10.8,CYP450_3a4_substrate
levetiracetam,CC[C@@H](C(=O)N)N1CCCC1=O,170.2106,,,,,0.1,,,0.96,CYP450_3a4_substrate
nizatidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C,331.463,,,,,0.35,,,50.0,
lacosamide,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,250.3,,,,,0.15,,,2.71,CYP450_3a4_substrate
arbutin,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,272.0,0.765,,,,,,,,
ABI-H0731,C1=CC=C2C(=C1)C(=O)NC3=C(S2(=O)=O)C=CC(=C3)C(=O)NCC4=CN=C(S4)C(F)(F)F,,,,,,,,,4.715,
enalaprilat,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,348.397,,,,,,,,14.365,
dihydrocodeine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O,301.384,,,,,,,,704.5,
zafirlukast,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,575.683,,,0.001,,0.99,,,6.8,
dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,504.632,,,,,0.99,,,,
fedratinib,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,524.6864,4.455,6.3,100.0,9.005,0.95,0.77,,13.0,CYP450_3a4_substrate
zopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,388.8133,,,,,0.555,,,21.0,CYP450_3a4_substrate
conivaptan,CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6,498.583,,,,,0.99,,,15.2,CYP450_3a4_substrate
nacubactam,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NOCCN,324.3124,,,,,,,,7.16,
flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,276.2129,,,,,0.95,,,280.0,CYP450_3a4_substrate
glycopyrronium,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,318.431,,,,,,,,422.0,
lefamulin,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)C,567.79,4.3,,,,0.948,,,16.47,CYP450_3a4_substrate
enerisant,C[C@@H]1CCCN1CCCOC2=CC=C(C=C2)N3C=C(C=N3)C(=O)N4CCOCC4,398.504,1.92,9.42,,,0.317,,,21.8,
danusertib,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)[C@@H](C5=CC=CC=C5)OC,474.562,,,,,0.6629999999999999,,,,
ribavirin,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,244.206,,,,,0.0,,,3.0,
pemafibrate,CC[C@H](C(=O)O)OC1=CC=CC(=C1)CN(CCCOC2=CC=C(C=C2)OC)C3=NC4=CC=CC=C4O3,490.553,5.04,3.58,,4.9,0.99,0.38,,,
zolpidem,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,307.395,,,,,0.92,,,2.6,CYP450_3a4_substrate
canagliflozin,CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,444.5205,,,,,,,,1.425,CYP450_3a4_substrate
gisadenafil,CCC1=C2C(=NN1CCOC)C(=O)NC(=N2)C3=C(N=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC,519.6237,,,,,0.44799999999999995,,,,
fosfluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)OP(=O)(O)O,386.254,,,,,,,,0.8065,
roxatidine,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)CO,306.403,,,,,0.04850000000000001,,,229.5,
fidaxomicin,CC[C@H]1/C=C(/[C@H](C/C=C/C=C(/C(=O)O[C@@H](C/C=C(/C=C(/[C@@H]1O[C@H]2[C@H]([C@H]([C@@H](C(O2)(C)C)OC(=O)C(C)C)O)O)\C)\C)[C@@H](C)O)\CO[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)\C,1058.04,6.4,,,,,,,,CYP450_3a4_substrate
sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,306.234,,,,,0.985,,,26.0,CYP450_3a4_substrate
fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,393.39,4.26,2.78,129.9,2.75,0.47659999999999997,,0.05,9.600000000000001,CYP450_3a4_substrate
lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,628.809,5.9,,,,0.985,,,1.2,CYP450_3a4_substrate
phenacetin,CCOC1=CC=C(C=C1)NC(=O)C,179.22,,,,47.0,,,,,
roflumilast N-oxide,C1CC1COC2=C(C=CC(=C2)C(=O)N=C3C(=CN(C=C3Cl)O)Cl)OC(F)F,,,,,,0.97,,,,
quinapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,438.521,,,,,0.97,,,0.6,
amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,365.408,,,,,0.18,,,1.5,
treosulfan,CS(=O)(=O)OC[C@@H]([C@H](COS(=O)(=O)C)O)O,278.3006,2.6,12.99,17.0,,,,,185.0,
sofosbuvir,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,529.4551,1.0,9.3,,,0.63,,,871.64,CYP450_3a4_inhibitor
cobimetinib,C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,531.3,2.42,8.86,0.72,,0.95,,,13.8,CYP450_3a4_substrate
vincristine,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,824.966,,,,,,,,3.965,CYP450_3a4_substrate
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.858,,,,,0.97,,,,CYP450_3a4_substrate
ranitidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,314.408,,,,,0.09,,,5.75,
casimersen,CN(C)P(=O)(N1CCN(CC1)C(=O)OCCOCCOCCO)OC[C@@H]2CNC[C@@H](O2)N3C=CC(=NC3=O)N,7584.5,,,,,0.2,,,180.0,CYP450_3a4_substrate
etrasimod,C1CCC(C1)C2=C(C=C(C=C2)COC3=CC4=C(C=C3)NC5=C4CC[C@@H]5CC(=O)O)C(F)(F)F,457.5,7.4,4.5,1.38,20.6,0.9790000000000001,0.38,,1.0,CYP450_3a4_substrate
milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,211.223,,,,,,,,18.2,
ambrisentan,CC1=CC(=NC(=N1)O[C@H](C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,378.42,,,,,0.986,,,38.0,CYP450_3a4_substrate
capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,359.352,,,,,0.54,,,145.0,
trilaciclib,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6,446.556,,,,,,,,158.0,CYP450_3a4_substrate
"3,4-dihydroxybenzoic acid",C1=CC(=C(C=C1C(=O)O)O)O,154.12,,,,,,,,236.0,
buprenorphine,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,467.646,4.82,,,44.7,0.96,,,6.945,CYP450_3a4_substrate
tamsulosin,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,408.516,2.3,9.93,3.3,,0.965,,,0.46499999999999997,
levofloxacin,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.371,,,,,0.31,,,1.485,
nebivolol,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,405.44,,8.5,0.1,,0.98,,,51.6,CYP450_2d6_inhibitor
naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.25,,,,,,,,627.345,
ticagrelor,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F,522.5742,2.295,12.94,0.016,,0.99,,,14.2,CYP450_3a4_substrate
fulvestrant,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,606.8,,,,,0.99,,,11.8,CYP450_3a4_substrate
dronedarone,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,556.764,7.2,,1.7,0.40349999999999997,0.98,,,140.0,CYP450_3a4_substrate
valspodar,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,1214.6,,,,,,,,2.26,
sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,398.3976,2.5,3.23,,,0.993,,,0.24,
mezlocillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,539.5875,,,,,,,,19.9,
tebipenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3CN(C3)C4=NCCS4)C(=O)O)[C@@H](C)O,383.4909,,,,,,,,39.1,
doxapram,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,378.513,,,,,0.56,,,,
ipratropium,CC(C)[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,332.461,,,,,0.045,,,2.0,
famotidine,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,337.43,0.2,9.29,0.001,,0.175,,,13.0,
methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,233.309,,,,,0.155,,,4.335,
asciminib,C1CN(C[C@@H]1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,449.8432,,1.975,0.124,22.1,0.973,0.36,,6.7,CYP450_3a4_substrate
ropeginterferon alfa-2b,COCCOC(=O)NCCCCC(CCN1CCC[C@H]1C(=O)O)NC(=O)OCCOC,60000.0,-1.3,,,,,,,3.15,
selegiline,C[C@H](CC1=CC=CC=C1)N(C)CC#C,187.28,2.7,7.44,100.0,,0.94,,,1500.0,CYP450_3a4_substrate
fenebrutinib,C[C@H]1CN(CCN1C2=CN=C(C=C2)NC3=CC(=CN(C3=O)C)C4=C(C(=NC=C4)N5CCN6C7=C(CC(C7)(C)C)C=C6C5=O)CO)C8COC8,664.8066,3.3,1.0,,15.1,,,,80.0,
